yr,holiday,workingday,temp,hum,windspeed,leaflets,price reduction,cnt,weathersit_2,weathersit_3,season_sin,season_cos,mnth_sin,mnth_cos,weekday_sin,weekday_cos
0,0,0,13.7667,78.75725066691479,0.160446,755,0,985,True,False,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
0,0,0,14.5391,64.76943803268743,0.2485389999999999,837,1,801,True,False,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
0,0,1,7.8546,31.781978452247888,0.248309,829,0,1349,False,False,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
0,0,1,8.0,51.303431249466286,0.160296,734,0,1562,False,False,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
0,0,1,9.0783,31.741702280064697,0.1869,745,0,1600,False,False,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419
0,0,1,8.1739,42.10440450532322,0.0895652,734,1,1606,False,False,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
0,0,0,6.6,44.34406557368692,0.266804,990,0,959,True,False,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
0,0,0,5.5333,31.386099367434678,0.36195,836,0,822,False,False,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
0,0,1,6.0333,37.599591120378605,0.223267,897,0,1321,False,False,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
0,0,1,6.9091,52.46455760576001,0.304627,889,0,1162,False,False,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419
0,0,1,6.6,36.00638810680324,0.301,572,1,1406,False,False,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
0,0,0,9.3333,39.617605785493694,0.157963,991,0,1248,True,False,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
0,1,0,7.0333,44.556535127577334,0.194017,650,0,1000,True,False,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
0,0,1,11.687,70.58807035074685,0.208317,1024,0,1650,True,False,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419
0,0,1,10.4667,55.28988010191402,0.195904,992,0,1927,True,False,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
0,0,1,7.1,34.306886588162115,0.353242,725,0,1543,False,False,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
0,0,0,2.3652,27.03130197824832,0.17197,891,0,981,False,False,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
0,0,0,3.8609,31.68625881519228,0.2466,932,1,986,False,False,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
0,0,1,8.9391,54.68382567554994,0.129796,977,0,1985,True,False,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
0,0,1,8.7,85.9798134805368,0.29385,602,0,506,False,True,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419
0,0,1,8.1391,77.12708534342448,0.1233,854,0,1167,True,False,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
0,0,0,7.8609,55.28988010191402,0.145365,1018,0,1098,False,False,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
0,0,0,8.6609,68.09438899389868,0.0739826,548,0,1096,False,False,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
0,0,1,7.2333,53.00051109952676,0.187192,901,0,1501,True,False,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
0,0,1,7.687,81.78204218036844,0.0532129999999999,914,0,1360,True,False,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
0,0,1,10.4,74.88054163804213,0.264308,678,0,1526,True,False,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419
0,0,0,9.3333,94.4769387050191,0.161079,707,0,1005,True,False,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
0,0,0,11.4333,48.48639340898286,0.1418,565,0,1623,False,False,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
0,0,1,8.8333,44.60968438011021,0.36195,611,0,1530,False,False,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
0,0,1,5.3913,39.11198687710542,0.188839,474,0,1605,True,False,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419
0,0,1,5.7739,31.797018288696034,0.221935,840,0,1538,False,False,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
0,0,1,7.5636,40.58805760512273,0.10855,946,0,1746,False,False,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
0,0,0,8.9,45.40628588689789,0.203367,709,0,1472,False,False,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
0,0,0,12.6609,34.34614311041662,0.260883,686,1,1589,False,False,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
0,0,1,16.6,23.95106699992225,0.417908,949,1,1913,False,False,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
0,0,1,10.6435,16.114420016747754,0.2913739999999999,565,0,1815,False,False,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
0,0,1,12.7304,30.023719606466113,0.251791,1029,0,2115,False,False,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419
0,0,1,17.4333,40.41420729228139,0.230104,756,0,2475,False,False,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
